LocationID,zone,borough,lat,lon
1,Newark Airport,EWR,191376.74953083202,935996.8210162065
2,Jamaica Bay,Queens,164018.75440320166,1031085.7186032843
3,Allerton/Pelham Gardens,Bronx,254265.47865856893,1026452.6168734727
4,Alphabet City,Manhattan,202959.7823911368,990633.9806410479
5,Arden Heights,Staten Island,140681.35137597343,931871.3700680139
6,Arrochar/Fort Wadsworth,Staten Island,157998.9356119239,964319.735448061
7,Astoria,Queens,216719.21816867893,1006496.6791586807
8,Astoria Park,Queens,222936.08755158543,1005551.5711778702
9,Auburndale,Queens,212969.8490136597,1043002.6774243254
10,Baisley Park,Queens,186706.49646915717,1042223.6050722591
11,Bath Beach,Brooklyn,159429.3168836981,982170.7832338787
12,Battery Park,Manhattan,195378.9728508775,979934.7305677243
13,Battery Park City,Manhattan,198691.52543753176,979792.331028984
14,Bay Ridge,Brooklyn,166921.55042206828,975952.0350819234
15,Bay Terrace/Fort Totten,Queens,224738.6129755755,1043521.3830455702
16,Bayside,Queens,217243.7604961802,1047016.784330188
17,Bedford,Brooklyn,191215.0683591191,998142.2060786379
18,Bedford Park,Bronx,255416.74215301158,1014623.3272763422
19,Bellerose,Queens,207352.35251648712,1060002.7496102
20,Belmont,Bronx,251810.303512513,1015821.8614530906
21,Bensonhurst East,Brooklyn,158393.65778602433,988821.3915776814
22,Bensonhurst West,Brooklyn,162323.8287235864,985566.4176542887
23,Bloomfield/Emerson Hill,Staten Island,160268.1237133335,936800.3814228631
24,Bloomingdale,Manhattan,231458.3760559646,993807.2716583572
25,Boerum Hill,Brooklyn,189071.57913936634,988101.2213261976
26,Borough Park,Brooklyn,169148.40746897226,987397.4626662626
27,Breezy Point/Fort Tilden/Riis Beach,Queens,142998.097106859,1010116.0525911167
28,Briarwood/Jamaica Hills,Queens,198588.18036389697,1037276.450260145
29,Brighton Beach,Brooklyn,150924.27687794657,995023.0950078965
30,Broad Channel,Queens,159266.0868838442,1033697.3819386285
31,Bronx Park,Bronx,251801.91339506747,1018696.4006329516
32,Bronxdale,Bronx,254085.68414675994,1021618.2183901309
33,Brooklyn Heights,Brooklyn,192774.49236567307,985567.1393607879
34,Brooklyn Navy Yard,Brooklyn,194618.42574558523,992238.7448684232
35,Brownsville,Brooklyn,181203.32110491273,1009147.2314989058
36,Bushwick North,Brooklyn,194506.2645740725,1007067.3784547453
37,Bushwick South,Brooklyn,192491.0725491703,1005813.8376355437
38,Cambria Heights,Queens,192354.37534157524,1057581.8857305443
39,Canarsie,Brooklyn,171746.3489405953,1012077.4831532118
40,Carroll Gardens,Brooklyn,186726.9441730333,985371.6110268093
41,Central Harlem,Manhattan,232321.2905475168,997734.6452331402
42,Central Harlem North,Manhattan,237395.8715478042,1000643.632259087
43,Central Park,Manhattan,224356.21221165065,993789.0096985319
44,Charleston/Tottenville,Staten Island,130813.71730920512,919325.6707014753
45,Chinatown,Manhattan,198844.63611660182,984762.4692829204
46,City Island,Bronx,248697.32700109552,1044565.4049743084
47,Claremont/Bathgate,Bronx,246329.04426500178,1011831.0101993148
48,Clinton East,Manhattan,216986.07003374878,987063.1857021254
49,Clinton Hill,Brooklyn,189923.67993134004,994687.7989075348
50,Clinton West,Manhattan,218437.82028573466,985597.5343919232
51,Co-Op City,Bronx,257736.0317728284,1031744.9710915012
52,Cobble Hill,Brooklyn,189441.98718140792,985158.534254694
53,College Point,Queens,223823.08273507966,1027782.0265390344
54,Columbia Street,Brooklyn,189642.16029755108,983442.5831941621
55,Coney Island,Brooklyn,149479.23529518777,987599.1763107228
56,Corona,Queens,209422.59485546063,1023365.172611275
56,Corona,Queens,213218.63492433997,1024817.4538048006
58,Country Club,Bronx,245891.95429244667,1033945.7966954281
59,Crotona Park,Bronx,244801.2399171087,1013307.8668851721
60,Crotona Park East,Bronx,243143.05780958594,1015824.0717104394
61,Crown Heights North,Brooklyn,185009.74769500326,1001091.0141538235
62,Crown Heights South,Brooklyn,182119.2885742171,998457.1474750465
63,Cypress Hills,Brooklyn,188441.23189381982,1018038.508018096
64,Douglaston,Queens,216496.53369807045,1056461.1692268404
65,Downtown Brooklyn/MetroTech,Brooklyn,192606.94834778874,988108.3766447257
66,DUMBO/Vinegar Hill,Brooklyn,195128.66351404483,988214.5459807585
67,Dyker Heights,Brooklyn,165020.58539900745,980418.277887647
68,East Chelsea,Manhattan,211948.91240008172,984272.7786326221
69,East Concourse/Concourse Village,Bronx,242196.03761468016,1007764.085658132
70,East Elmhurst,Queens,217413.87058175215,1020706.745137329
71,East Flatbush/Farragut,Brooklyn,174013.8443005886,1001465.1562155226
72,East Flatbush/Remsen Village,Brooklyn,176959.91492476902,1005823.7039946363
73,East Flushing,Queens,214077.6206734465,1037640.2378106113
74,East Harlem North,Manhattan,231170.7231356335,1001596.4822018786
75,East Harlem South,Manhattan,227103.7596245498,999272.1113831651
76,East New York,Brooklyn,180096.55428265326,1018425.395770319
77,East New York/Pennsylvania Avenue,Brooklyn,182139.0472945757,1013278.1286526012
78,East Tremont,Bronx,247139.97024585522,1015923.6509313948
79,East Village,Manhattan,204368.5018753222,988147.6579909977
80,East Williamsburg,Brooklyn,199911.28634464616,1001771.8842984998
81,Eastchester,Bronx,260268.37646953634,1029422.4201378655
82,Elmhurst,Queens,208718.58925015814,1018302.534288022
83,Elmhurst/Maspeth,Queens,208286.3127456639,1014131.0479577216
